What is (are) abdominal wall defect?,An opening in the abdomen through which various abdominal organs can protrude.                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
What are the treatments for abdominal wall defect?,Diagnostic Tests-Drug Therapy-Surgery and Rehabilitation-Genetic Counseling-Palliative Care.
What is (are) Osteoporosis ?,A Bone Disease that thins and weakens the bones become fragile and break easily. 
Who is at risk for Osteoporosis?,Women are at higher risk for osteoporosis than men. 
What are the symptoms of Osteoporosis ?,Fractures-A Possible Warning Sign Osteoporosis does not have any symptoms until a fracture occurs.
How to diagnose Osteoporosis ?,"Taking glucocorticoid medications such as prednisone, cortisone, or dexamethasone for 2 months or longer."
What are the treatments for Osteoporosis ?," Although there is no cure for osteoporosis, it can be treated. "
what research is being done for Osteoporosis ?,Scientists are pursuing a wide range of basic and clinical studies on osteoporosis.
How to prevent Osteoporosis ?,Preventing falls is a special concern for men and women with osteoporosis.
What is (are) Paget's Disease of Bone ?,Enlarged and Misshapen Bones disease of bone causes affected bones to become enlarged and misshapen.  
What are the symptoms of Paget's Disease of Bone ?,"Bone pain,misshapen bones,fractures,osteoarthritis of the joints adjacent to bone affected by the disease.   "
How to diagnose Paget's Disease of Bone ?,"Diagnostic Tests X-rays are almost always used,but the disease may be discovered using one of three test."
What are the treatments for Paget's Disease of Bone ?,"Although there is no cure for disease of bone, it is treatable. "
What are the complications of Paget's Disease of Bone ?,"Arthritis,headaches,hearing loss,and nervous system problems,depending on which bones are affected. "
What is (are) Parkinson's Disease ?,"A Brain Disorder is a brain disorder that leads to shaking, stiffness, and difficulty with walking."
What causes Parkinson's Disease ?,"A Shortage of Dopamine occurs when nerve cells, or neurons, in an area of the brain that controls movement."
What are the symptoms of Parkinson's Disease ?," Tremor often begins in a hand, although sometimes a foot or the jaw is affected first."
What are the treatments for Parkinson's Disease ?,"Deep Brain Stimulation,is a surgical procedure used to treat a variety of disabling disorders."
what research is being done for Parkinson's Disease ?,"In recent years, research on has advanced to the point that halting the progression of the disease."
Who is at risk for Parkinson's Disease?,"About 60,000 Americans are diagnosed with disease each year."
How to diagnose Parkinson's Disease ?,There are currently no blood or laboratory tests to diagnose sporadic Parkinson&apos;s disease.
What is (are) Peripheral Arterial Disease?,"Disease in which plaque builds up in the arteries that carry blood to your head, organs, and limbs. "
How to prevent Peripheral Arterial Disease (P.A.D.) ?,"Following a healthy eating plan low in total fat, saturated fat,trans fat,cholesterol,quitting smoking."
